accession,gene_name,abundance_24,abundance_48,abundance_72,abundance_96,abundance_120
Q9NTX5,ECHDC1,10912222.28,14337103.45,18147351.69,18261769.58,15414611.75
Q8TBC4,UBA3,11136202.73,14070135.44,15005436.81,14979080.58,13797713.89
Q13951,CBFB,13440113.59,12661138.43,10668170.46,9693095.375,11615629.46
P46937,YAP1,22154217.4,21462493.28,18600273.54,19850449.25,20516858.37
Q92979,EMG1,16931590.36,19683284.29,16661941.84,13098566.95,16593845.86
Q96RT1,ERBB2IP; ERBIN,13214666.84,11403689.92,10237778.6,9929033.91,11196292.32
P48147,PREP,21075504.88,26598221.7,30144405.84,32539809.07,27589485.37
Q9NPD3,EXOSC4,11642798.31,12746310.5,11350920.92,11570626.88,11827664.15
P46108,CRK,36527429.93,45595228.67,45447985.25,45837643.24,43352071.77
Q12834,CDC20,328666.6388,465319.5886,1218026.794,0,503003.2553
Q9GZU1,MCOLN1,6346771.979,6889898.711,6061783.435,5258059.214,6139128.335
P50336,PPOX,1849589.128,3204848.566,4525918.744,4372606.573,3488240.753
Q86YR5,GPSM1,6759521.214,6379227.541,5684504.323,5693661.425,6129228.626
O75874,IDH1,123759617.7,153135499.1,164561018.9,172699637.1,153538943.2
Q9Y4Z0,LSM4,20892618.54,29450893.52,25705659.78,32228021.74,27069298.4
Q8NFD5,ARID1B,1535554.439,1409161.701,1369255.178,1516415.25,1457596.642
Q96GM5,SMARCD1,1982560.078,1909458.413,1238884.58,1455866.891,1646692.49
Q9P2I0,CPSF2,8863992.007,11894301.86,8345991.112,8983377.268,9521915.562
P52756,RBM5,2287738.647,2247112.448,1936113.162,1839085.943,2077512.55
Q6P4A7,SFXN4,525440.7557,802561.3772,1120704.504,1499839.674,987136.5777
P49915,GMPS,77157692.81,99415656.85,108310086,105087151.1,97492646.69
Q5GLZ8,HERC4,38148677.7,35614435.52,34104733.51,32145331.65,35003294.59
P26022,PTX3,6345891.987,8783990.441,8750633.084,7246915.014,7781857.631
Q96JH7,VCPIP1,10730721.01,12461705.88,11933005.48,12090164.77,11803899.29
P62316,SNRPD2,88691222.28,85709723.84,79428101.86,77423339.29,82813096.82
Q9NX00,TMEM160,1924648.145,2488151.203,2966924.261,3063320.588,2610761.049
Q8WWI1,LMO7,260826807.8,193897751.6,138467053,109290630.4,175620560.7
P62277,RPS13,307994844.9,357507048.1,339772576.7,307852280.5,328281687.5
Q9NT62,ATG3,14765727.23,15569551.13,16063293.51,15965705.27,15591069.29
P07947,YES1,24345587.3,26550373.82,24416808.1,23640253.34,24738255.64
Q9Y4K1,AIM1; CRYBG1,885386.5041,952475.8492,725956.0712,346745.0441,727640.8672
Q5TA45,CPSF3L; INTS11,2172382.049,2947969.872,3509967.373,3469550.901,3024967.549
Q9UIC8,LCMT1,1585179.511,1953829.735,2151907.135,2260003.156,1987729.884
Q86WA8,LONP2,1138350.387,1366595.344,1576987.245,686755.9469,1192172.231
Q86YS6,RAB43,9844081.918,7327335.035,5672602.301,5371514.338,7053883.398
P23434,GCSH,5679824.235,8233122.278,10112703.31,11085310.98,8777740.199
O60551,NMT2,384153.7117,513197.2583,679758.9809,617926.7537,548759.1761
Q8NFX7,STXBP6,1268170.005,1383320.085,1542274.38,1333142.689,1381726.79
P20618,PSMB1,171097946.5,194255373.2,186572054.5,189342172,185316886.5
O95260,ATE1,655699.866,1162752.98,258150.1112,1556529.43,908283.097
Q8TBN0,RAB3IL1,0,431826.6113,0,327124.2531,189737.7161
O43583,DENR,13236896.56,16526692.91,16535572.5,16999151.46,15824578.36
Q86VY9,TMEM200A,921539.813,750217.9846,254874.4235,233291.0244,539980.8114
P45985,MAP2K4,3778197.699,5398193.886,6337000.902,6126859.103,5410062.897
P43246,MSH2,32115776.66,39067430.24,35476120.38,34050743.42,35177517.67
Q6IA86,ELP2,3376418.169,3606884.11,3946864.029,3825379.279,3688886.397
O43818,RRP9,10591659.3,12185811.72,9008011.377,10005456.15,10447734.64
Q03518,TAP1,65661010.52,76062424.42,80652415.1,65875425.22,72062818.82
P67870,CSNK2B,24300473.14,31674070.93,32832112.98,28637725.94,29361095.75
Q9BSJ8,ESYT1,290130624.2,305158311.4,306178764.2,286691724.6,297039856.1
P06493,CDK1,59914935.38,108019958.3,84634711.98,67658554.15,80057039.95
Q9H9B1,EHMT1,1468142.196,905152.8835,525007.1309,710690.0405,902248.0627
Q9HD15,SRA1,7390472.896,6007022.075,6713686.943,6989660.808,6775210.68
Q86Y82,STX12,41932184.6,46458244.22,47127953.16,45400609.09,45229747.77
Q9P2B4,CTTNBP2NL,9231909.02,10220274.97,7816978.948,8376202.319,8911341.315
Q06330,RBPJ,10092512.23,8495909.449,10561793.44,8548950.676,9424791.449
Q7Z7H5,TMED4,19486519.45,26786236.41,23803102.7,27561842.38,24409425.24
Q9H2P9,DPH5,3642583.702,4284938.293,4072316.802,3876409.096,3969061.973
Q96RF0,SNX18,27596155.23,20954904.08,21634112.14,24027813.53,23553246.24
Q96FF9,CDCA5,1469311.029,1683871.242,1174219.881,932773.5526,1315043.926
P41567,EIF1,0,0,0,0,0
P38159,RBMX,255822851.3,211119999.3,207280687.1,208125186.8,220587181.1
P35580,MYH10,228058154.2,229362982.4,243418591.5,259328364.7,240042023.2
Q9UNP9,PPIE,7805161.482,10476670.56,10976851.86,10636903.7,9973896.901
P19474,TRIM21,31298228.51,38005261.58,36071522.54,32010947.74,34346490.09
P07948,LYN,3723184.27,5458020.131,5257386.619,4563780.485,4750592.876
P18085,ARF4,265658003.2,221215501.3,187848451.9,185271403,214998339.8
P34897,SHMT2,335741950.4,351906544.6,395567330.1,425926803.5,377285657.2
P78537,BLOC1S1,5814696.724,6599913.793,7371519.954,7500250.334,6821595.202
Q5VYS8,ZCCHC6,1202279.254,1421745.482,1269761.832,1434154.68,1331985.312
O75376,NCOR1,2685259.661,2782675.641,2658091.7,2899732.468,2756439.867
Q9H1A3,METTL9,2360131.241,2806960.099,3011686.973,1906413.551,2521297.966
Q9NZU5,LMCD1,2740360.711,3706719.209,3622391.514,3722824.641,3448074.019
Q9H857,NT5DC2,26069111.39,19456113.13,19317975.19,19520341.09,21090885.2
Q9Y490,TLN1,1402298513,1272755181,1148121898,1083232127,1226601929
P39060,COL18A1,40371687.27,48110321.78,70774141.66,81850373.72,60276631.11
Q86V21,AACS,13362502.43,20081721.8,20172171.91,20553875.27,18542567.85
Q9Y3U8,RPL36,111379035.5,122996444,116462044.4,110075085.4,115228152.3
Q9NX08,COMMD8,5236709.527,7040348.868,7289425.12,4779029.918,6086378.358
Q99460,PSMD1,179883600.8,227092530,230816791.6,230871164.5,217166021.7
Q53GT1,KLHL22,1686501.25,2292107.4,2429326.218,2400344.881,2202069.937
Q96GM8,TOE1,2999500.667,3214120.912,2375123.935,2538581.254,2781831.692
P52292,KPNA2,161441428.3,198837510.1,151536313.9,139947202.7,162940613.7
Q9BTE1,DCTN5,1655648.064,194918.6825,68815.21039,126928.767,511577.6811
P42771,CDKN2A,3698898.263,6123839.471,7804867.666,7568059.406,6298916.202
O75208,COQ9,1705138.31,2794219.62,3426820.624,3686647.891,2903206.612
Q9Y2S6,TMA7,14885998.93,3126089.51,1471384.443,1734524.968,5304499.464
P61106,RAB14,117937150.9,134341901.5,134663654.1,121879739.3,127205611.4
Q86VN1,VPS36,3238944.421,3158812.507,2748654.582,3159654.86,3076516.592
Q9NRF9,POLE3,754056.894,935153.8724,815514.5678,595736.0132,775115.3368
P21333,FLNA,7304842854,5881298706,5191636553,4965698700,5835869203
P15289,ARSA,10842585.37,15892900.27,27197703.89,31515163.45,21362088.25
P60520,GABARAPL2,28575215.7,19470742.62,12736972.41,10334734.13,17779416.22
Q9Y6M9,NDUFB9,20757096.55,31923870.63,40614645.65,45420174.79,34678946.91
P20337,RAB3B,140137888.9,111125647.3,86821222.84,70413512.09,102124567.8
P62917,RPL8,298701297.6,142136895.7,89254764.92,76887901.59,151745214.9
Q9NR19,ACSS2,6680624.499,11834850.32,12848870.4,12198379.39,10890681.15
Q9Y426,C2CD2,1057672.55,880523.1304,1109189.451,1071023.993,1029602.281
Q96B49,TOMM6,1186857.121,2074561.507,2432886.319,2812838.654,2126785.9
P00403,COX2,126352175.7,155159256.4,199186107.8,228001378.8,177174729.7
Q4ZIN3,C19orf6; TMEM259,789526.4956,517569.7224,736486.5323,449336.303,623229.7633
P50402,EMD,83998159.14,61245793.4,58049304.2,61400086.16,66173335.72
P52948,NUP98,49873624.62,54741263.24,51605124.68,52082121.58,52075533.53
P62241,RPS8,655620827.8,711967023.8,698007823,662028803.1,681906119.4
P51148,RAB5C,245107398.4,237625371.4,221648121.4,213237099.5,229404497.7
Q8TAT6,NPLOC4,49448278.3,58832897.41,57640170.81,56332009.8,55563339.08
P30046,DDT,16719931.67,22930806.61,28366439.07,26416262.06,23608359.85
Q9Y5P6,GMPPB,8589209.976,12501918.39,12114885.39,11407371.67,11153346.36
Q8WUX1,SLC38A5,6808452.022,8506428.891,6380554.648,4143928.923,6459841.121
P62068,USP46,1028732.314,1281229.028,1363681.372,1474064.913,1286926.907
O60763,USO1,157684093.5,138759557.8,131159706.8,131186833.7,139697548
Q9UII4,HERC5,12447744.36,8633068.612,4580500.987,3252150.737,7228366.174
Q9UHY1,NRBP1,34539914.93,32348310.93,29165917.54,26955167.29,30752327.67
Q86U86,PBRM1,11529570.29,12678186.33,12865793.88,12034649.01,12277049.88
Q15121,PEA15,31821487.3,25263193.63,25132651.04,18633799.55,25212782.88
Q13425,SNTB2,47339259.21,46636455.46,46361241.94,44150975.85,46121983.12
Q9Y5R8,TRAPPC1,3435796.594,3831636.178,4931711.059,3831267.578,4007602.852
P28300,LOX,15305856.2,11793497.5,10522553.15,9716216.862,11834530.93
O75937,DNAJC8,30806683.57,38189273.41,31027749.36,27760672.3,31946094.66
Q92934,BAD,6185768.761,6530686.117,6249539.015,5974277.187,6235067.77
Q9Y5S9,RBM8A; LOC101060541,35303469.2,38166267.23,37985780.2,40569443.28,38006239.98
O00422,SAP18,11384758.08,2846022.915,2852475.463,2865576,4987208.115
Q15020,SART3,34497212.09,43141634.04,43382638.85,45491328.2,41628203.29
Q92922,SMARCC1,9205310.536,10198501.54,9323403.873,8433706.114,9290230.516
O14545,TRAFD1,2372427.527,2004632.323,1666625.356,1680241.097,1930981.576
Q7KZI7,MARK2,3824834.318,3699730.737,2233042.406,2067405.542,2956253.251
P15529,CD46,4545386.445,1755917.97,646572.6784,803251.2212,1937782.079
Q9H9F9,ACTR5,673166.1568,978456.7492,1055722.618,965521.6368,918216.7901
Q96CW1,AP2M1,134824513,116583495.8,109989151.2,113057313.8,118613618.4
Q08257,CRYZ,27949101.04,27700050.66,33438357.83,37797306.82,31721204.09
O43488,AKR7A2,15164493.71,14214036.57,14490073.04,15808317.51,14919230.21
P14927,UQCRB,56528108.16,57491932.59,62762801.64,67433627.89,61054117.57
Q9Y3E0,GOLT1B,3452029.979,2486173.316,4137516.378,3950088.892,3506452.141
P17813,ENG,62194395.33,48325396.63,44114333.99,37089038.59,47930791.13
Q14249,ENDOG,4429976.14,6897214.303,7878629.362,7312987.978,6629701.946
Q8IZL8,PELP1,22448313.21,25043055.81,27063975.42,27537086.38,25523107.71
Q13595,TRA2A,28238000.38,35504631.09,34528223.77,30657378.7,32232058.49
P43034,PAFAH1B1,61735619.17,63430832.28,53693193.96,58294698.61,59288586.01
Q14318,FKBP8,40446328.18,43018344.45,48513101.01,46765254.39,44685757.01
Q9Y4F5,CEP170B; KIAA0284,1574106.123,1700332.867,1390752.484,1300223.119,1491353.648
Q9NS69,TOMM22,27223003.45,34750554.04,36943910.08,35956855.65,33718580.81
Q15386,UBE3C,11361363.94,14154493.54,13031143.83,14944936.31,13372984.41
Q9C0E2,XPO4,3382505.273,2675890.522,3567427.974,3359344.621,3246292.098
Q9UMZ2,SYNRG,2487726.623,3302902.675,2651936.415,3242866.64,2921358.088
Q9GZP4,PITHD1,4096714.265,6900405.17,4118925.027,6106560.523,5305651.246
O75330,HMMR,628295.9394,2162965.422,1021397.383,997465.1277,1202530.968
Q13443,ADAM9,18646269.95,15446938.88,10799668.91,11436905.48,14082445.81
P25205,MCM3,95071491.5,94253309.74,74293441.08,63758628.36,81844217.67
Q9BYX4,IFIH1,11533385.52,7082731.602,5397504.672,3503770.853,6879348.161
P34949,MPI,5140954.164,8834258.177,11066077.05,12285721.56,9331752.739
Q9Y619,SLC25A15,1193125.479,1349854.087,1323763.118,775442.9968,1160546.42
Q14956,GPNMB,5677025.774,5233167.124,4266363.054,4490141.104,4916674.264
Q92878,RAD50,32433721.54,42379359.97,41012142.87,45050543,40218941.85
Q16537,PPP2R5E,1119693.455,1317482.864,1317919.311,1696836.381,1362983.003
Q15813,TBCE,6502412.403,9366219.661,10419848.59,8978612.597,8816773.313
Q9H3H3,C11orf68,11675259.48,12844355.35,14555859.7,14674527.17,13437500.42
P55209,NAP1L1,273805618.1,355862941.9,284442972.9,314451449.1,307140745.5
Q86UY6,NAA40,1966834.494,2865201.555,2591536.854,2139911.532,2390871.109
P32322,PYCR1,51318198.99,37759405.33,40858318.54,52055713.35,45497909.05
P11766,ADH5,154321455.4,149892806.8,139588461,160809367.8,151153022.8
P20591,MX1,1046605854,1572568090,1623885885,1392782703,1408960633
Q9UJ41,RABGEF1,4513499.083,5817050.657,4785931.207,4756289.866,4968192.703
P06744,GPI,211263480.1,315575567.2,344240651,339016461.5,302524040
O95757,HSPA4L,5727627.449,18621304.33,14008741.36,26961895,16329892.03
P32321,DCTD,8249635.191,10290823.59,10164657.01,10643953.57,9837267.34
P46934,NEDD4,6900062.497,7351612.286,7898359.882,6998206.462,7287060.282
O60678,PRMT3,1480601.858,1433276.525,1143900.179,1145527.47,1300826.508
Q5UCC4,EMC10,8498704.819,11318383.68,10862756.01,10589387.77,10317308.07
P16949,STMN1,177409182.4,157646453.9,133587543.5,123967572.8,148152688.2
O75175,CNOT3,9909727.546,13062109.11,13983389.51,13802760.56,12689496.68
Q13625,TP53BP2,3570140.824,3018682.34,1904431.849,767948.7811,2315300.949
P07199,CENPB,2860676.306,3077694.897,2799267.531,4735601.989,3368310.181
Q9Y6G5,COMMD10,1983331.129,2274608.86,2495671.126,2551513.504,2326281.155
P62304,SNRPE,35182275.94,42518319.08,42157765.67,40227715.32,40021519.01
P33992,MCM5,69610266.65,68758718.74,58672261.18,56715705.06,63439237.91
Q15370,TCEB2; ELOB,65373334.62,61319317.85,30638189.85,34899106.7,48057487.26
P16278,GLB1,59768368.09,88585864.04,133974885.6,154789836.1,109279738.4
Q9H334,FOXP1,842510.7983,956721.3511,1392098.781,1043302.119,1058658.262
P04049,RAF1,4133156.504,6472486.158,6000456.61,3955014.694,5140278.491
P16219,ACADS,3649412.568,6349201.87,11835266.62,15714982.3,9387215.839
Q969F9,HPS3,626499.1616,927288.2607,894183.8623,833666.2078,820409.3731
P29317,EPHA2,68335985.2,66975236.22,52730542.91,34482158.53,55630980.72
P62312,LSM6,15964338.22,15068531.43,14389241.81,16584122.96,15501558.61
Q6IAN0,DHRS7B,6907883.873,11605061.95,14155674.14,16634465.17,12325771.28
P51452,DUSP3,25053136.27,31993855.8,29881466.63,29907644.32,29209025.76
Q13057,COASY,6955750.418,9525282.751,10325791.52,9402789.98,9052403.667
Q15036,SNX17,10078426.91,8581491.538,7532704.217,6721379.998,8228500.665
Q15904,ATP6AP1,38618308.52,45408611.55,42338646.43,42449947.4,42203878.47
Q68E01,INTS3,9155846.564,11403882.08,12177499.78,11642774.26,11095000.67
Q99574,SERPINI1,0,0,652236.4385,1384888.354,509281.198
P26006,ITGA3,48072840.59,52773996.57,51339043.44,34508889,46673692.4
Q03167,TGFBR3,170432.8127,204424.9403,162959.1296,156000.444,173454.3316
O60716,CTNND1,124145486,122010733,119067805.5,107529419.2,118188360.9
O75477,ERLIN1,38673916.21,40286224.67,39153318.96,40939181.11,39763160.24
Q9BTV4,TMEM43,141192717.8,151089300.7,163950049,155907219.8,153034821.8
Q8IUR7,ARMC8,6452362.883,6937944.585,6575058.044,6248441.801,6553451.828
P35367,HRH1,924285.3896,815827.295,1093353.508,0,708366.5482
Q6NUQ1,RINT1,5266886.161,5991083.122,6120693.622,7084122.837,6115696.436
P08172,CHRM2,4390051.937,1807629.392,1552475.67,1021459.127,2192904.032
Q709F0,ACAD11,4181550.588,5115915.988,6812660.037,7009551.556,5779919.542
P42566,EPS15,14487281.96,17012323.79,17673226.61,18586110.43,16939735.7
Q96GK7,FAHD2A,8531384.004,12645589.61,14552165.8,13977875.18,12426753.65
Q9UBL3,ASH2L,5632465.239,6449807.437,6289444.913,5449279.786,5955249.344
Q5VWQ8,DAB2IP,617842.2052,927637.8694,829400.9026,753933.0898,782203.5167
Q9BV20,MRI1,4174242.338,5482534.977,5822999.544,5833699.373,5328369.058
Q8TD43,TRPM4,1295926.516,1243763.963,1633912.416,1386004.238,1389901.783
Q13618,CUL3,34061840.09,40775644.64,43887112.74,43043771.48,40442092.24
O95816,BAG2,45510023.49,36762358.72,34489948.32,35719754.7,38120521.31
Q969G3,SMARCE1,14323018.45,15659423.9,16329240.46,16766165.25,15769462.01
Q86VP1,TAX1BP1,9222881.455,10041138.6,4620511.271,2902039.693,6696642.754
P61006,RAB8A,30497998.01,32212781.84,31834519.21,33786383.1,32082920.54
Q14690,PDCD11,60712024.09,65263549.8,61252227.39,55360521.5,60647080.7
Q9Y6E0,STK24,23090183.27,26172887.39,25701640.22,25814438.4,25194787.32
Q9BQ49,SMIM7,2341355.303,574575.4477,389902.273,464401.3513,942558.5938
Q6ZW31,SYDE1,1441156.243,1097841.263,922458.7751,140970.7856,900606.7667
P18077,RPL35A,236402466.3,192745636.2,154616742.3,165601151.6,187341499.1
Q9NXE8,CWC25,469300.8179,168536.6836,0,0,159459.3754
Q9BZI7,UPF3B,494430.0005,789401.2617,858272.7151,0,535525.9943
Q96EM0,L3HYPDH,7138131.422,7458072.736,7736952.994,7358159.242,7422829.099
Q8TDB6,DTX3L,34111478.33,30814417.13,29292362.37,25113644.23,29832975.52
O60427,FADS1,7027566.76,13122561.07,10341006.58,6584898.797,9269008.304
O43314,PPIP5K2,2012187.468,1912234.579,1784284.966,1881031.393,1897434.601
Q9BUR4,WRAP53,1354247.653,2200534.337,1880096.832,1510526.458,1736351.32
Q04828,AKR1C1,26398857.55,20789162.16,27042983.6,32281093.73,26628024.26
P50443,SLC26A2,809687.563,1069135.421,1318583.746,1550879.222,1187071.488
P51665,PSMD7,62831949.1,64339593.09,68840700.68,63969447.47,64995422.58
P62847,RPS24,110824649.8,124258708.1,127595075,122092694.2,121192781.8
O15371,EIF3D,129042657.1,136659455.2,125147959.6,120039738.7,127722452.6
Q9NRL2,BAZ1A,11349853.84,7035498.306,4149866.852,2935706.704,6367731.426
Q92974,ARHGEF2,26378834.23,28820887.45,27567027.79,26302538.75,27267322.06
O94903,PROSC; PLPBP,12109385.17,13538051.75,13335398.89,16205623.18,13797114.75
Q8N122,RPTOR,5905815.136,7175469.754,8066755.725,9070017.569,7554514.546
P62979,RPS27A,1130154901,1061450127,849274736.9,894199107.5,983769718
Q13416,ORC2,552806.5144,896930.1991,997973.2653,882792.2232,832625.5505
P25445,FAS,15308992.48,12921898.87,9953620.534,9873811.209,12014580.77
Q93074,MED12,459526.8113,674396.6727,1426510.042,771642.3356,833018.9654
P36578,RPL4,737027449.7,732016423.5,698299800,636976083.7,701079939.2
P17987,TCP1,473219407.1,513748920.2,481548425.6,481922687.2,487609860
Q7Z3B4,NUP54,34497379.56,38370276.33,37813320.66,37202391.64,36970842.05
Q9Y6K9,IKBKG,2523511.754,3493047.981,3507628.244,3319236.913,3210856.223
P03886,ND1,5548876.301,8118865.636,12049044.15,11302799,9254896.27
Q9HB40,SCPEP1,18903758.81,32181219.81,42395118.74,44702761.82,34545714.8
P0CG08,GPR89A; GPR89B,4704847.891,7076724.294,8653795.286,9363243.173,7449652.661
Q9BVI4,NOC4L,17820382.32,21632245.71,19408309.53,15361280.38,18555554.48
P05386,RPLP1,140444500.5,186263612,202603096.6,173080456.6,175597916.4
P54886,ALDH18A1,236556496.4,208534598,196490900,188482338.4,207516083.2
Q8TCS8,PNPT1,122792916,143760287.6,138420704.9,122585223.9,131889783.1
Q9UI12,ATP6V1H,35488330.51,40598755.96,44157984.27,47719774.12,41991211.21
P35249,RFC4,11435095.07,13242449.73,10072917.96,10755490.3,11376488.26
Q9UBQ5,EIF3K,46685470.6,61852439.08,58011961.9,62376135.43,57231501.75
Q86SK9,SCD5,635570.7752,440787.895,368379.7771,364214.8071,452238.3136
Q7Z4R8,C6orf120,872395.9126,3544171.36,3883759.329,3679601.968,2994982.142
Q86UU1,PHLDB1,18633564.07,17126117.64,15313836.8,15329343.48,16600715.5
P84077,ARF1,356347907.8,406840141.5,422535341.4,427994819.2,403429552.4
Q9BY32,ITPA,16654481.79,22012273.49,22608440.47,23539585.65,21203695.35
Q5BKZ1,ZNF326,22133234.07,25737786.24,28256558.72,25715409.78,25460747.2
P14621,ACYP2,2528720.945,5018448.904,4871557.56,4893506.833,4328058.56
Q9Y2U8,LEMD3,11697875.89,11196621.26,11082359.43,11623960.95,11400204.38
Q99538,LGMN,3049105.932,7019877.417,10361056.11,8987220.273,7354314.933
Q86UE4,MTDH,88467305.99,80889040.67,76305355.36,79209675.73,81217844.44
P08047,SP1,1246305.13,1897180.575,1048002.43,1235612.7,1356775.209
O15541,RNF113A,419895.2556,441255.2947,0,3234447.402,1023899.488
P29466,CASP1,13307782.81,15971730.44,26972793.35,23423985.01,19919072.91
P62269,RPS18,585562549.9,455753300.7,379266294.4,348461084.2,442260807.3
Q9BYT8,NLN,28241305.03,31312718.9,32067120.79,35607778.65,31807230.84
P49757,NUMB,12947876.01,11824606.88,9780116.606,8524305.171,10769226.17
Q7LBR1,CHMP1B,4459247.699,2398482.355,1918688.807,2060822.913,2709310.443
Q53GG5,PDLIM3,716908.3092,1063919.961,2216367.676,2464594.232,1615447.544
Q9UK59,DBR1,4637984.247,7073377.805,8252678.925,7301668.346,6816427.331
Q14145,KEAP1,2410822.49,2546942.118,1754268.948,1429738.458,2035443.004
P16401,HIST1H1B,552606335,347044576.4,227179547.8,215714682.5,335636285.4
Q9C002,C15orf48,1106597.898,7598391.694,12495396.74,16333125.83,9383378.038
P43155,CRAT,22307075.03,27655367.62,36735226.53,42046521.26,32186047.61
Q8N511,TMEM199,2432233.253,3845971.894,3607941.584,3404301.919,3322612.163
Q5JWF2,GNAS,72751527.21,88251147.75,89655075.66,85194167.6,83962979.56
Q9Y4W6,AFG3L2,36544866.61,40761547,45205771.58,51299871.95,43453014.28
Q8ND76,CCNY,1843472.432,2395663.558,1429397.311,1733528.653,1850515.488
P16435,POR,99550655.86,138375909,147613491,144923462.5,132615879.6
P49419,ALDH7A1,59703086.64,70212061.26,94115207.97,102028704,81514764.96
Q96L91,EP400,816311.5267,850354.9415,895890.9225,887272.5138,862457.4761
P21291,CSRP1,117318004,111294896.4,102514382.7,103409118.4,108634100.4
Q9NZ32,ACTR10,6633407.005,9346164.461,9302109.454,9147521.079,8607300.5
P49746,THBS3,406621.4998,556457.9778,703133.4774,414258.5955,520117.8876
Q5EB52,MEST,21137149.99,20099102.04,23395476.27,20446694.35,21269605.66
P49411,TUFM,407957816.9,414888234.2,450521440.4,485967533.7,439833756.3
Q9Y487,ATP6V0A2,12841063.39,15449479.34,15338120.12,13506685.15,14283837
Q9Y5L0,TNPO3,23103873.57,27654222.02,28135157.94,26537640.41,26357723.48
O95834,EML2,1232186.396,1799347.325,2797046.61,2948992.693,2194393.256
Q9H788,SH2D4A,1568864.006,1275076.746,996907.3296,1082264.225,1230778.077
P00367,GLUD1,337051730.2,371208952.7,404231371.6,435757926.1,387062495.1
Q9Y2R5,MRPS17,6926367.67,10362851.78,12305947.46,12692646.93,10571953.46
Q9UHI8,ADAMTS1,1123913.398,414183.9057,1133681.765,553035.0112,806203.5198
Q9ULC4,MCTS1,28933523.48,34464283.3,38451225.41,38707978.67,35139252.71
Q8TF66,LRRC15,108361.4221,395321.8702,154378.1707,0,164515.3657
Q9NTJ3,SMC4,37135229.69,36795017.39,28808231.41,24051536.43,31697503.73
P29536,LMOD1,5489936.995,4193600.971,4671853.285,4607344.55,4740683.95
Q6ZSR9,,12883475.48,16297916.62,16644786.37,16944270.57,15692612.26
P24821,TNC,495737518.4,576850670.4,783779723.8,1004216724,715146159.1
Q9NP66,HMG20A,2303593.024,3347999.742,3869630.184,3901214.798,3355609.437
Q8WXF1,PSPC1,50476825.51,61778048.21,62728116.38,62365504.23,59337123.58
Q9Y240,CLEC11A,2282130.558,2502766.077,2364184.378,2980285.55,2532341.64
Q96SL4,GPX7,18876676.76,13090364.85,9547589.798,10418870.84,12983375.56
Q68D91,MBLAC2,2377180.692,1672103.963,1816179.01,1943470.278,1952233.486
P10768,ESD,55530420.99,62814238.54,65900702.75,63690726.72,61984022.25
Q9UMY4,SNX12,15731008.3,18331484.84,16065464.51,15925178.79,16513284.11
P19174,PLCG1,24848446.5,25060909.86,20262841.24,18723862.14,22224014.93
Q8WU76,SCFD2,4023268.429,4934089.966,6106730.226,6341916.053,5351501.168
Q9NW82,WDR70,4690355.648,5041065.396,4627190.769,4589369.172,4736995.246
Q5ST30,VARS2,749727.5014,525376.3494,720805.3225,972679.378,742147.1378
Q9BZJ0,CRNKL1,13726808.53,14664423.44,12614486.78,12218488.09,13306051.71
P11413,G6PD,375570229.2,314960793.4,294849745.3,300029868.9,321352659.2
Q9UKX5,ITGA11,7511264.325,4536213.424,5085149.55,3812129.284,5236189.146
P47712,PLA2G4A,2848852.673,3657481.831,3970030.325,3717702.401,3548516.807
P37235,HPCAL1,20424828.42,29606909.69,31063149.47,33726431.6,28705329.79
Q6VEQ5,,25414955.96,16974681.06,17019363.24,17538345.41,19236836.42
Q9BZL1,UBL5,7254515.966,8450583.679,8225895.242,7049480.657,7745118.886
O00505,KPNA3,35555476.04,39375863.86,36904023.18,36969773.67,37201284.18
P49755,TMED10,214059039.6,211591525.2,199715535.2,188115664.7,203370441.2
P22670,RFX1,1429895.753,1365420.71,1908387.252,1713722.322,1604356.509
P62341,SELT; SELENOT,6144617.037,5813989.829,5070796.905,5506884.071,5634071.96
P40855,PEX19,1411021.408,1826597.527,1851439.384,1701976.915,1697758.809
Q15165,PON2,34071979.19,47770814.7,64659470.81,64504415.59,52751670.07
Q96D46,NMD3,3084869.668,3240067.457,3269164.777,2993925.9,3147006.951
O60476,MAN1A2,29312467.86,15749465.31,12057440.7,13371064,17622609.47
Q96AG4,LRRC59,522132911.8,547449301.7,555379034.8,530871793.2,538958260.4
P53582,METAP1,15928109.7,16834118.31,14259439.61,13972528.88,15248549.13
O75127,PTCD1,1401154.088,1294491.864,1118171.801,697343.4349,1127790.297
Q658Y4,FAM91A1,7398492.842,9873268.978,11273680.52,10931656.84,9869274.797
Q9Y4B6,VPRBP; DCAF1,1361185.062,1379319.373,1375548.023,1225157.321,1335302.445
Q9P031,CCDC59,1520245.114,974010.8836,633897.1631,643763.5824,942979.1858
Q12904,AIMP1,74487993.64,91268767.62,103934360,106377330,94017112.82
Q5SWX8,C1orf27; ODR4,6249522.422,7714166.491,7878850.724,8536799.487,7594834.781
Q9H019,FAM54B; MTFR1L,1343901.306,1941203.36,2381166.427,2686450.431,2088180.381
Q96QG7,MTMR9,5765572.813,7389609.165,7721805.923,8199917.054,7269226.238
Q99471,PFDN5,17968058.3,22685132.63,19779198.56,19842552.89,20068735.59
Q9Y266,NUDC,121014108.6,93303391.53,77422225.7,79444173.07,92795974.73
Q9UBQ7,GRHPR,29831712.25,35452012.95,39114787.39,44499176.5,37224422.27
P42285,SKIV2L2,53997978.69,62643056.83,57438751.43,54588629.86,57167104.2
